Name,Abbrev,Status,Year,City,Country,Mass(kg),Lat_n,Long_n
Grove Mountains 054638,GRV 054638,Official,2006,Antarctica,,0.00155,72.9833,75.1833
Grove Mountains 054639,GRV 054639,Official,2006,Antarctica,,0.00145,72.7667,75.3167
Grove Mountains 054641,GRV 054641,Official,2006,Antarctica,,0.00181,72.9833,75.1833
Grove Mountains 054646,GRV 054646,Official,2006,Antarctica,,0.0026,72.7667,75.3167
Grove Mountains 054647,GRV 054647,Official,2006,Antarctica,,0.00219,72.9833,75.1833
Grove Mountains 054650,GRV 054650,Official,2006,Antarctica,,0.0022,72.9833,75.1833
Grove Mountains 054651,GRV 054651,Official,2006,Antarctica,,0.00395,72.9833,75.1833
Grove Mountains 054653,GRV 054653,Official,2006,Antarctica,,0.00345,72.9833,75.1833
Grove Mountains 054658,GRV 054658,Official,2006,Antarctica,,0.00052,72.9833,75.1833
Grove Mountains 054790,GRV 054790,Official,2006,Antarctica,,0.00052,72.9833,75.1833
Grove Mountains 054791,GRV 054791,Official,2006,Antarctica,,0.00052,72.9833,75.1833
Grove Mountains 054854,GRV 054854,Official,2006,Antarctica,,0.00084,72.9833,75.1833
Grove Mountains 054855,GRV 054855,Official,2006,Antarctica,,0.00072,72.9833,75.1833
Grove Mountains 054856,GRV 054856,Official,2006,Antarctica,,0.00158,72.9833,75.1833
Grove Mountains 054859,GRV 054859,Official,2006,Antarctica,,0.00131,72.9833,75.1833
Grove Mountains 054871,GRV 054871,Official,2006,Antarctica,,0.00051,72.9833,75.1833
Grove Mountains 054880,GRV 054880,Official,2006,Antarctica,,0.00051,72.9833,75.1833
Grove Mountains 054955,GRV 054955,Official,2006,Antarctica,,0.00026,72.9833,75.1833
Grove Mountains 054956,GRV 054956,Official,2006,Antarctica,,0.00051,72.9833,75.1833
Grove Mountains 054971,GRV 054971,Official,2006,Antarctica,,0.00052,72.9833,75.1833
Grove Mountains 055055,GRV 055055,Official,2006,Antarctica,,0.00023,72.9833,75.1833
Grove Mountains 055056,GRV 055056,Official,2006,Antarctica,,0.0004,72.9833,75.1833
Grove Mountains 055152,GRV 055152,Official,2006,Antarctica,,0.00024,72.9833,75.1833
Grove Mountains 055153,GRV 055153,Official,2006,Antarctica,,0.00017,72.9833,75.1833
Grove Mountains 055157,GRV 055157,Official,2006,Antarctica,,0.00051,72.9833,75.1833
Grove Mountains 055253,GRV 055253,Official,2006,Antarctica,,0.00035,72.9833,75.1833
Grove Mountains 055254,GRV 055254,Official,2006,Antarctica,,0.00025,72.9833,75.1833
Grove Mountains 055356,GRV 055356,Official,2006,Antarctica,,0.00138,72.9833,75.1833
Grove Mountains 055364,GRV 055364,Official,2006,Antarctica,,0.396,72.9833,75.2167
Grove Mountains 090001,GRV 090001,Official,2009,Antarctica,,0.222,72.7833,74.6833
Grove Mountains 090002,GRV 090002,Official,2010,Antarctica,,0.0308,72.9167,75.1
Grove Mountains 090003,GRV 090003,Official,2010,Antarctica,,0.00312,72.9,75.0833
Grove Mountains 090004,GRV 090004,Official,2010,Antarctica,,0.699,72.7667,75.3
Grove Mountains 090005,GRV 090005,Official,2010,Antarctica,,0.366,72.7667,75.3
Grove Mountains 090006,GRV 090006,Official,2010,Antarctica,,0.1864,72.7667,75.3
Grove Mountains 090007,GRV 090007,Official,2010,Antarctica,,0.1419,72.7667,75.3
Grove Mountains 090008,GRV 090008,Official,2010,Antarctica,,0.266,72.7667,75.3
Grove Mountains 090009,GRV 090009,Official,2010,Antarctica,,0.0069,72.7667,75.3167
Grove Mountains 090010,GRV 090010,Official,2010,Antarctica,,0.014,72.7667,75.3167
Grove Mountains 090011,GRV 090011,Official,2010,Antarctica,,0.0084,72.7667,75.3167
Grove Mountains 090012,GRV 090012,Official,2010,Antarctica,,0.0074,72.7667,75.3167
Grove Mountains 090013,GRV 090013,Official,2010,Antarctica,,0.0138,72.7667,75.3167
Grove Mountains 090014,GRV 090014,Official,2010,Antarctica,,0.0052,72.7667,75.3167
Grove Mountains 090015,GRV 090015,Official,2010,Antarctica,,0.00436,72.7667,75.3167
Grove Mountains 090016,GRV 090016,Official,2010,Antarctica,,0.00121,72.7667,75.3167
Grove Mountains 090017,GRV 090017,Official,2010,Antarctica,,0.00055,72.7667,75.3167
Grove Mountains 090018,GRV 090018,Official,2010,Antarctica,,0.00146,72.7667,75.3167
Grove Mountains 090019,GRV 090019,Official,2010,Antarctica,,0.00475,72.7667,75.3167
Grove Mountains 090020,GRV 090020,Official,2010,Antarctica,,0.0051,72.7667,75.3167
Grove Mountains 090021,GRV 090021,Official,2010,Antarctica,,0.00356,72.7667,75.3167
Grove Mountains 090022,GRV 090022,Official,2010,Antarctica,,0.00256,72.7667,75.3167
Grove Mountains 090023,GRV 090023,Official,2010,Antarctica,,0.00418,72.7667,75.3167
Grove Mountains 090024,GRV 090024,Official,2010,Antarctica,,0.0007,72.7667,75.3167
Grove Mountains 090025,GRV 090025,Official,2010,Antarctica,,0.00313,72.7667,75.3167
Grove Mountains 090026,GRV 090026,Official,2010,Antarctica,,0.00294,72.7667,75.3167
Grove Mountains 090027,GRV 090027,Official,2010,Antarctica,,0.00053,72.7667,75.3167
Grove Mountains 090028,GRV 090028,Official,2010,Antarctica,,0.0969,72.7667,75.3
Grove Mountains 090029,GRV 090029,Official,2010,Antarctica,,0.00025,72.7667,75.3167
Grove Mountains 090030,GRV 090030,Official,2010,Antarctica,,0.0011,72.7667,75.3167
Grove Mountains 090031,GRV 090031,Official,2010,Antarctica,,0.00382,72.7667,75.3167
Grove Mountains 090032,GRV 090032,Official,2010,Antarctica,,0.00148,72.7667,75.3167
Grove Mountains 090033,GRV 090033,Official,2010,Antarctica,,0.00468,72.7667,75.3167
Grove Mountains 090034,GRV 090034,Official,2010,Antarctica,,0.00454,72.7667,75.3167
Grove Mountains 090035,GRV 090035,Official,2010,Antarctica,,0.00288,72.7667,75.3167
Grove Mountains 090036,GRV 090036,Official,2010,Antarctica,,0.00482,72.7667,75.3167
Grove Mountains 090037,GRV 090037,Official,2010,Antarctica,,0.0072,72.7667,75.3167
Grove Mountains 090038,GRV 090038,Official,2010,Antarctica,,0.0038,72.7667,75.3167
Grove Mountains 090039,GRV 090039,Official,2010,Antarctica,,0.0069,72.7667,75.3167
Grove Mountains 090040,GRV 090040,Official,2010,Antarctica,,0.00121,72.7667,75.3167
Grove Mountains 090041,GRV 090041,Official,2010,Antarctica,,0.00052,72.7667,75.3167
Grove Mountains 090042,GRV 090042,Official,2010,Antarctica,,0.0161,72.7667,75.3167
Grove Mountains 090043,GRV 090043,Official,2010,Antarctica,,0.0059,72.7667,75.3167
Grove Mountains 090044,GRV 090044,Official,2010,Antarctica,,0.0742,72.7667,75.3
Grove Mountains 090045,GRV 090045,Official,2010,Antarctica,,0.0605,72.7667,75.3
Grove Mountains 090046,GRV 090046,Official,2010,Antarctica,,0.0884,72.7667,75.3
Grove Mountains 090047,GRV 090047,Official,2010,Antarctica,,0.013,72.7667,75.3167
Grove Mountains 090048,GRV 090048,Official,2010,Antarctica,,0.0228,72.7667,75.3167
Grove Mountains 090049,GRV 090049,Official,2010,Antarctica,,0.0196,72.7667,75.3167
Grove Mountains 090050,GRV 090050,Official,2010,Antarctica,,0.0086,72.7667,75.3167
Grove Mountains 090051,GRV 090051,Official,2010,Antarctica,,0.0138,72.7667,75.3167
Grove Mountains 090052,GRV 090052,Official,2010,Antarctica,,0.0713,72.7667,75.3167
Grove Mountains 090053,GRV 090053,Official,2010,Antarctica,,0.0125,72.7667,75.3167
Grove Mountains 090054,GRV 090054,Official,2010,Antarctica,,0.0098,72.7667,75.3167
Grove Mountains 090055,GRV 090055,Official,2010,Antarctica,,0.0063,72.7667,75.3167
Grove Mountains 090056,GRV 090056,Official,2010,Antarctica,,0.00405,72.7667,75.3167
Grove Mountains 090057,GRV 090057,Official,2010,Antarctica,,0.00489,72.7667,75.3167
Grove Mountains 090058,GRV 090058,Official,2010,Antarctica,,0.0142,72.7667,75.3167
Grove Mountains 090059,GRV 090059,Official,2010,Antarctica,,0.028,72.7667,75.3167
Grove Mountains 090060,GRV 090060,Official,2010,Antarctica,,0.0237,72.7667,75.3167
Grove Mountains 090061,GRV 090061,Official,2010,Antarctica,,0.0311,72.7667,75.3
Grove Mountains 090062,GRV 090062,Official,2010,Antarctica,,0.0171,72.7667,75.3167
Grove Mountains 090063,GRV 090063,Official,2010,Antarctica,,0.0214,72.7667,75.3167
Grove Mountains 090064,GRV 090064,Official,2010,Antarctica,,0.0223,72.7667,75.3167
Grove Mountains 090065,GRV 090065,Official,2010,Antarctica,,0.0161,72.7667,75.3167
Grove Mountains 090066,GRV 090066,Official,2010,Antarctica,,0.0096,72.7667,75.3167
Grove Mountains 090067,GRV 090067,Official,2010,Antarctica,,0.0131,72.7667,75.3167
Grove Mountains 090068,GRV 090068,Official,2010,Antarctica,,0.0066,72.7667,75.3167
Grove Mountains 090069,GRV 090069,Official,2010,Antarctica,,0.0054,72.7667,75.3167
Grove Mountains 090070,GRV 090070,Official,2010,Antarctica,,0.018,72.7667,75.3167
Grove Mountains 090071,GRV 090071,Official,2010,Antarctica,,0.0051,72.7667,75.3167
Grove Mountains 090072,GRV 090072,Official,2010,Antarctica,,0.007,72.7667,75.3167
Grove Mountains 090073,GRV 090073,Official,2010,Antarctica,,0.0057,72.7667,75.3167
Grove Mountains 090074,GRV 090074,Official,2010,Antarctica,,0.00301,72.7667,75.3167
Grove Mountains 090075,GRV 090075,Official,2010,Antarctica,,0.00421,72.7667,75.3167
Grove Mountains 090076,GRV 090076,Official,2010,Antarctica,,0.00185,72.7667,75.3167
Grove Mountains 090077,GRV 090077,Official,2010,Antarctica,,0.0452,72.7667,75.3
Grove Mountains 090078,GRV 090078,Official,2010,Antarctica,,0.1564,72.7667,75.3
Grove Mountains 090079,GRV 090079,Official,2010,Antarctica,,0.0301,72.7667,75.3
Grove Mountains 090080,GRV 090080,Official,2010,Antarctica,,0.0351,72.7667,75.3
Grove Mountains 090081,GRV 090081,Official,2010,Antarctica,,0.0134,72.7667,75.3167
Grove Mountains 090082,GRV 090082,Official,2010,Antarctica,,0.0407,72.7667,75.3
Grove Mountains 090083,GRV 090083,Official,2010,Antarctica,,0.0253,72.7667,75.3167
Grove Mountains 090084,GRV 090084,Official,2010,Antarctica,,0.0112,72.7667,75.3167
Grove Mountains 090085,GRV 090085,Official,2010,Antarctica,,0.0089,72.7667,75.3167
Grove Mountains 090086,GRV 090086,Official,2010,Antarctica,,0.0071,72.7667,75.3167
Grove Mountains 090087,GRV 090087,Official,2010,Antarctica,,0.00313,72.7667,75.3167
Grove Mountains 090088,GRV 090088,Official,2010,Antarctica,,0.00208,72.7667,75.3167
Grove Mountains 090089,GRV 090089,Official,2010,Antarctica,,0.00291,72.7667,75.3167
Grove Mountains 090090,GRV 090090,Official,2010,Antarctica,,0.00216,72.7667,75.3167
Grove Mountains 090091,GRV 090091,Official,2010,Antarctica,,0.0146,72.7667,75.3167
Grove Mountains 090092,GRV 090092,Official,2010,Antarctica,,0.00261,72.7667,75.3167
Grove Mountains 090093,GRV 090093,Official,2010,Antarctica,,0.00254,72.7667,75.3167
Grove Mountains 090094,GRV 090094,Official,2010,Antarctica,,0.00177,72.7667,75.3167
Grove Mountains 090095,GRV 090095,Official,2010,Antarctica,,0.00147,72.7667,75.3167
Grove Mountains 090096,GRV 090096,Official,2010,Antarctica,,0.00044,72.7667,75.3167
Grove Mountains 090097,GRV 090097,Official,2010,Antarctica,,0.00081,72.7667,75.3167
Grove Mountains 090098,GRV 090098,Official,2010,Antarctica,,0.00132,72.7667,75.3167
Grove Mountains 090099,GRV 090099,Official,2010,Antarctica,,0.00113,72.7667,75.3167
Grove Mountains 090100,GRV 090100,Official,2010,Antarctica,,0.00101,72.7667,75.3167
Grove Mountains 090101,GRV 090101,Official,2010,Antarctica,,0.00097,72.7667,75.3167
Grove Mountains 090102,GRV 090102,Official,2010,Antarctica,,0.00049,72.7667,75.3167
Grove Mountains 090103,GRV 090103,Official,2010,Antarctica,,0.00059,72.7667,75.3167
Grove Mountains 090104,GRV 090104,Official,2010,Antarctica,,0.00107,72.7667,75.3167
Grove Mountains 090105,GRV 090105,Official,2010,Antarctica,,0.623,72.7667,75.3
Grove Mountains 090106,GRV 090106,Official,2010,Antarctica,,0.0066,72.7667,75.3167
Grove Mountains 090107,GRV 090107,Official,2010,Antarctica,,0.002,72.7667,75.3167
Grove Mountains 090108,GRV 090108,Official,2010,Antarctica,,0.00165,72.7667,75.3167
Grove Mountains 090109,GRV 090109,Official,2010,Antarctica,,0.00404,72.7667,75.3167
Grove Mountains 090110,GRV 090110,Official,2010,Antarctica,,0.00455,72.7667,75.3167
Grove Mountains 090111,GRV 090111,Official,2010,Antarctica,,0.0051,72.7667,75.3167
Grove Mountains 090112,GRV 090112,Official,2010,Antarctica,,0.00144,72.7667,75.3167
Grove Mountains 090113,GRV 090113,Official,2010,Antarctica,,0.00212,72.7667,75.3167
Grove Mountains 090114,GRV 090114,Official,2010,Antarctica,,0.0118,72.7667,75.3167
Grove Mountains 090115,GRV 090115,Official,2010,Antarctica,,0.0055,72.7667,75.3167
Grove Mountains 090116,GRV 090116,Official,2010,Antarctica,,0.0178,72.7667,75.3167
Grove Mountains 090117,GRV 090117,Official,2010,Antarctica,,0.00241,72.7667,75.3167
Grove Mountains 090118,GRV 090118,Official,2010,Antarctica,,0.0168,72.7667,75.3167
Grove Mountains 090119,GRV 090119,Official,2010,Antarctica,,0.00082,72.7667,75.3167
Grove Mountains 090120,GRV 090120,Official,2010,Antarctica,,0.00079,72.7667,75.3167
Grove Mountains 090121,GRV 090121,Official,2010,Antarctica,,0.0106,72.7667,75.3167
Grove Mountains 090122,GRV 090122,Official,2010,Antarctica,,0.0483,72.7667,75.3
Grove Mountains 090123,GRV 090123,Official,2010,Antarctica,,0.0817,72.7667,75.3
Grove Mountains 090124,GRV 090124,Official,2010,Antarctica,,0.0013,72.7667,75.3167
Grove Mountains 090125,GRV 090125,Official,2010,Antarctica,,0.0732,72.7667,75.3
Grove Mountains 090126,GRV 090126,Official,2010,Antarctica,,0.0349,72.7667,75.3
Grove Mountains 090127,GRV 090127,Official,2010,Antarctica,,0.0307,72.7667,75.3167
Grove Mountains 090128,GRV 090128,Official,2010,Antarctica,,0.236,72.7667,75.3
Grove Mountains 090129,GRV 090129,Official,2010,Antarctica,,0.00463,72.7667,75.3167
Grove Mountains 090130,GRV 090130,Official,2010,Antarctica,,0.00082,72.7667,75.3167
Grove Mountains 090131,GRV 090131,Official,2010,Antarctica,,0.00116,72.7667,75.3167
Grove Mountains 090132,GRV 090132,Official,2010,Antarctica,,0.00069,72.7667,75.3167
Grove Mountains 090133,GRV 090133,Official,2010,Antarctica,,0.00201,72.7667,75.3167
Grove Mountains 090134,GRV 090134,Official,2010,Antarctica,,0.00096,72.7667,75.3167
Grove Mountains 090135,GRV 090135,Official,2010,Antarctica,,0.00419,72.7667,75.3167
Grove Mountains 090136,GRV 090136,Official,2010,Antarctica,,0.0096,72.7667,75.3167
Grove Mountains 090137,GRV 090137,Official,2010,Antarctica,,0.00295,72.7667,75.3167
Grove Mountains 090138,GRV 090138,Official,2010,Antarctica,,0.00093,72.7667,75.3167
Grove Mountains 090139,GRV 090139,Official,2010,Antarctica,,0.0097,72.7667,75.3167
Grove Mountains 090140,GRV 090140,Official,2010,Antarctica,,0.00104,72.7667,75.3167
Grove Mountains 090142,GRV 090142,Official,2010,Antarctica,,0.355,72.7667,75.3
Grove Mountains 090143,GRV 090143,Official,2010,Antarctica,,0.1062,72.7667,75.3
Grove Mountains 090144,GRV 090144,Official,2010,Antarctica,,0.0772,72.7667,75.3
Grove Mountains 090145,GRV 090145,Official,2010,Antarctica,,0.0655,72.7667,75.3
Grove Mountains 090146,GRV 090146,Official,2010,Antarctica,,0.0515,72.7667,75.3
Grove Mountains 090147,GRV 090147,Official,2010,Antarctica,,0.0239,72.7667,75.3167
Grove Mountains 090148,GRV 090148,Official,2010,Antarctica,,0.0115,72.7667,75.3167
Grove Mountains 090149,GRV 090149,Official,2010,Antarctica,,0.00261,72.7667,75.3167
Grove Mountains 090150,GRV 090150,Official,2010,Antarctica,,0.00242,72.7667,75.3167
Grove Mountains 090151,GRV 090151,Official,2010,Antarctica,,0.00119,72.7667,75.3167
Grove Mountains 090153,GRV 090153,Official,2010,Antarctica,,0.0159,72.7667,75.3167
Grove Mountains 090154,GRV 090154,Official,2010,Antarctica,,0.235,72.7667,75.3
Grove Mountains 090160,GRV 090160,Official,2010,Antarctica,,0.00253,72.7667,75.3167
Grove Mountains 090162,GRV 090162,Official,2010,Antarctica,,0.00087,72.7667,75.3167
Grove Mountains 090163,GRV 090163,Official,2010,Antarctica,,0.00411,72.7667,75.3167
Grove Mountains 090164,GRV 090164,Official,2010,Antarctica,,0.0049,72.7667,75.3167
Grove Mountains 090166,GRV 090166,Official,2010,Antarctica,,0.562,72.7667,75.3
Grove Mountains 090167,GRV 090167,Official,2010,Antarctica,,0.1042,72.7667,75.3
Grove Mountains 090168,GRV 090168,Official,2010,Antarctica,,0.259,72.7667,75.3
Grove Mountains 090169,GRV 090169,Official,2010,Antarctica,,0.1333,72.7667,75.3
Grove Mountains 090170,GRV 090170,Official,2010,Antarctica,,0.07,72.7667,75.3
Grove Mountains 090171,GRV 090171,Official,2010,Antarctica,,0.0371,72.7667,75.3
Grove Mountains 090172,GRV 090172,Official,2010,Antarctica,,0.0455,72.7667,75.3
Grove Mountains 090173,GRV 090173,Official,2010,Antarctica,,0.0955,72.7667,75.3
Grove Mountains 090174,GRV 090174,Official,2010,Antarctica,,0.0921,72.7667,75.3
Grove Mountains 090175,GRV 090175,Official,2010,Antarctica,,0.0563,72.7667,75.3
Grove Mountains 090176,GRV 090176,Official,2010,Antarctica,,0.00062,72.7667,75.3167
Grove Mountains 090177,GRV 090177,Official,2010,Antarctica,,0.0018,72.7667,75.3167
Grove Mountains 090178,GRV 090178,Official,2010,Antarctica,,0.0025,72.7667,75.3167
Grove Mountains 090179,GRV 090179,Official,2010,Antarctica,,0.00328,72.7667,75.3167
Grove Mountains 090180,GRV 090180,Official,2010,Antarctica,,0.0107,72.7667,75.3167
Grove Mountains 090181,GRV 090181,Official,2010,Antarctica,,0.00488,72.7667,75.3167
Grove Mountains 090182,GRV 090182,Official,2010,Antarctica,,0.0052,72.7667,75.3167
Grove Mountains 090191,GRV 090191,Official,2010,Antarctica,,0.0217,72.7667,75.3167
Grove Mountains 090192,GRV 090192,Official,2010,Antarctica,,0.0284,72.7667,75.3167
Grove Mountains 090193,GRV 090193,Official,2010,Antarctica,,0.0087,72.7667,75.3167
Grove Mountains 090194,GRV 090194,Official,2010,Antarctica,,0.0108,72.7667,75.3167
Grove Mountains 090195,GRV 090195,Official,2010,Antarctica,,0.0089,72.7667,75.3167
Grove Mountains 090196,GRV 090196,Official,2010,Antarctica,,0.00058,72.7667,75.3167
Grove Mountains 090213,GRV 090213,Official,2010,Antarctica,,0.00078,72.7667,75.3167
Grove Mountains 090214,GRV 090214,Official,2010,Antarctica,,0.00275,72.7667,75.3167
Grove Mountains 090215,GRV 090215,Official,2010,Antarctica,,0.00088,72.7667,75.3167
Grove Mountains 090216,GRV 090216,Official,2010,Antarctica,,0.00191,72.7667,75.3167
Grove Mountains 090217,GRV 090217,Official,2010,Antarctica,,0.00479,72.7667,75.3167
Grove Mountains 090218,GRV 090218,Official,2010,Antarctica,,0.0158,72.7667,75.3167
Grove Mountains 090219,GRV 090219,Official,2010,Antarctica,,0.0387,72.7667,75.3167
Grove Mountains 090220,GRV 090220,Official,2010,Antarctica,,0.0153,72.7667,75.3167
Grove Mountains 090221,GRV 090221,Official,2010,Antarctica,,0.00118,72.7667,75.3167
Grove Mountains 090222,GRV 090222,Official,2010,Antarctica,,0.0126,72.7667,75.3167
Grove Mountains 090223,GRV 090223,Official,2010,Antarctica,,0.006,72.7667,75.3167
Grove Mountains 090224,GRV 090224,Official,2010,Antarctica,,0.0215,72.7667,75.3167
Grove Mountains 090225,GRV 090225,Official,2010,Antarctica,,0.0084,72.7667,75.3167
Grove Mountains 090226,GRV 090226,Official,2010,Antarctica,,0.018,72.7667,75.3167
Grove Mountains 090227,GRV 090227,Official,2010,Antarctica,,0.0404,72.7667,75.3
Grove Mountains 090228,GRV 090228,Official,2010,Antarctica,,0.02,72.7667,75.3167
Grove Mountains 090229,GRV 090229,Official,2010,Antarctica,,0.0077,72.7667,75.3167
Grove Mountains 090230,GRV 090230,Official,2010,Antarctica,,0.0158,72.7667,75.3167
Grove Mountains 090231,GRV 090231,Official,2010,Antarctica,,0.0464,72.7667,75.3
Grove Mountains 090232,GRV 090232,Official,2010,Antarctica,,0.01,72.7667,75.3167
Grove Mountains 090233,GRV 090233,Official,2010,Antarctica,,0.00348,72.7667,75.3167
Grove Mountains 090234,GRV 090234,Official,2010,Antarctica,,0.00128,72.7667,75.3167
Grove Mountains 090237,GRV 090237,Official,2010,Antarctica,,0.0012,72.7667,75.3167
Grove Mountains 090238,GRV 090238,Official,2010,Antarctica,,0.00072,72.7667,75.3167
Grove Mountains 090240,GRV 090240,Official,2010,Antarctica,,0.00332,72.7667,75.3167
Grove Mountains 090241,GRV 090241,Official,2010,Antarctica,,0.00095,72.7667,75.3167
Grove Mountains 090242,GRV 090242,Official,2010,Antarctica,,0.0056,72.7667,75.3167
Grove Mountains 090243,GRV 090243,Official,2010,Antarctica,,0.00222,72.7667,75.3167
Grove Mountains 090244,GRV 090244,Official,2010,Antarctica,,0.00151,72.7667,75.3167
Grove Mountains 090245,GRV 090245,Official,2010,Antarctica,,0.00043,72.7667,75.3167
Grove Mountains 090246,GRV 090246,Official,2010,Antarctica,,0.00157,72.7667,75.3167
Grove Mountains 090247,GRV 090247,Official,2010,Antarctica,,0.00234,72.7667,75.3167
Grove Mountains 090248,GRV 090248,Official,2010,Antarctica,,0.00048,72.7667,75.3167
Grove Mountains 090250,GRV 090250,Official,2010,Antarctica,,0.0778,72.7667,75.3
Grove Mountains 090251,GRV 090251,Official,2010,Antarctica,,0.0881,72.7667,75.3
Grove Mountains 090252,GRV 090252,Official,2010,Antarctica,,0.0862,72.7667,75.3
Grove Mountains 090253,GRV 090253,Official,2010,Antarctica,,0.093,72.7667,75.3
Grove Mountains 090254,GRV 090254,Official,2010,Antarctica,,0.0775,72.7667,75.3167
Grove Mountains 090255,GRV 090255,Official,2010,Antarctica,,0.00154,72.7667,75.3167
Grove Mountains 090256,GRV 090256,Official,2010,Antarctica,,0.0067,72.7667,75.3167
Grove Mountains 090257,GRV 090257,Official,2010,Antarctica,,0.00303,72.7667,75.3167
Grove Mountains 090258,GRV 090258,Official,2010,Antarctica,,0.00127,72.7667,75.3167
Grove Mountains 090259,GRV 090259,Official,2010,Antarctica,,0.00104,72.7667,75.3167
Grove Mountains 090260,GRV 090260,Official,2010,Antarctica,,0.0019,72.7667,75.3167
Grove Mountains 090261,GRV 090261,Official,2010,Antarctica,,0.0106,72.7667,75.3167
Grove Mountains 090262,GRV 090262,Official,2010,Antarctica,,0.00177,72.7667,75.3167
Grove Mountains 090263,GRV 090263,Official,2010,Antarctica,,0.0054,72.7667,75.3167
Grove Mountains 090264,GRV 090264,Official,2010,Antarctica,,0.00214,72.7667,75.3167
Grove Mountains 090265,GRV 090265,Official,2010,Antarctica,,0.00334,72.7667,75.3167
Grove Mountains 090266,GRV 090266,Official,2010,Antarctica,,0.0381,72.7667,75.3
Grove Mountains 090267,GRV 090267,Official,2010,Antarctica,,0.00156,72.7667,75.3167
Grove Mountains 090268,GRV 090268,Official,2010,Antarctica,,0.00103,72.7667,75.3167
Grove Mountains 090269,GRV 090269,Official,2010,Antarctica,,0.00303,72.7667,75.3167
Grove Mountains 090270,GRV 090270,Official,2010,Antarctica,,0.0268,72.7667,75.3167
Grove Mountains 090271,GRV 090271,Official,2010,Antarctica,,0.00284,72.7667,75.3167
Grove Mountains 090272,GRV 090272,Official,2010,Antarctica,,0.0037,72.7667,75.3167
Grove Mountains 090273,GRV 090273,Official,2010,Antarctica,,0.00251,72.7667,75.3167
Grove Mountains 090274,GRV 090274,Official,2010,Antarctica,,0.00079,72.7667,75.3167
Grove Mountains 090275,GRV 090275,Official,2010,Antarctica,,0.0008,72.7667,75.3167
Grove Mountains 090276,GRV 090276,Official,2010,Antarctica,,0.0013,72.7667,75.3167
Grove Mountains 090278,GRV 090278,Official,2010,Antarctica,,0.00406,72.7667,75.3167
Grove Mountains 090279,GRV 090279,Official,2010,Antarctica,,0.0023,72.7667,75.3167
Grove Mountains 090280,GRV 090280,Official,2010,Antarctica,,0.0195,72.7667,75.3167
Grove Mountains 090281,GRV 090281,Official,2010,Antarctica,,0.00171,72.7667,75.3167
Grove Mountains 090282,GRV 090282,Official,2010,Antarctica,,0.0005,72.7667,75.3167
Grove Mountains 090283,GRV 090283,Official,2010,Antarctica,,0.00258,72.7667,75.3167
Grove Mountains 090284,GRV 090284,Official,2010,Antarctica,,0.00045,72.7667,75.3167
Grove Mountains 090285,GRV 090285,Official,2010,Antarctica,,0.00089,72.7667,75.3167
Grove Mountains 090286,GRV 090286,Official,2010,Antarctica,,0.0063,72.7667,75.3167
Grove Mountains 090287,GRV 090287,Official,2010,Antarctica,,0.0107,72.7667,75.3167
Grove Mountains 090288,GRV 090288,Official,2010,Antarctica,,0.00077,72.7667,75.3167
Grove Mountains 090289,GRV 090289,Official,2010,Antarctica,,0.00284,72.7667,75.3167
Grove Mountains 090290,GRV 090290,Official,2010,Antarctica,,0.0028,72.7667,75.3167
Grove Mountains 090291,GRV 090291,Official,2010,Antarctica,,0.00064,72.7667,75.3167
Grove Mountains 090294,GRV 090294,Official,2010,Antarctica,,0.00214,72.7667,75.3333
Grove Mountains 090295,GRV 090295,Official,2010,Antarctica,,0.00127,72.7667,75.3333
Grove Mountains 090297,GRV 090297,Official,2010,Antarctica,,0.0147,72.9,75.1
Grove Mountains 090298,GRV 090298,Official,2010,Antarctica,,0.0123,72.9,75.1
Grove Mountains 090300,GRV 090300,Official,2010,Antarctica,,0.0039,72.9333,75.3167
Grove Mountains 090301,GRV 090301,Official,2010,Antarctica,,0.00447,72.9333,75.3167
Grove Mountains 090302,GRV 090302,Official,2010,Antarctica,,0.00426,72.9333,75.3167
Grove Mountains 090303,GRV 090303,Official,2010,Antarctica,,0.00419,72.9333,75.3167
Grove Mountains 090304,GRV 090304,Official,2010,Antarctica,,0.00096,72.9333,75.3167
Grove Mountains 090305,GRV 090305,Official,2010,Antarctica,,0.00198,72.9333,75.3167
Grove Mountains 090306,GRV 090306,Official,2010,Antarctica,,0.0672,72.9333,75.3167
Grove Mountains 090307,GRV 090307,Official,2010,Antarctica,,0.0081,72.9333,75.3167
Grove Mountains 090308,GRV 090308,Official,2010,Antarctica,,0.0165,72.9333,75.3167
Grove Mountains 090309,GRV 090309,Official,2010,Antarctica,,0.0077,72.9333,75.3167
Grove Mountains 090310,GRV 090310,Official,2010,Antarctica,,0.0172,72.9333,75.3167
Grove Mountains 090311,GRV 090311,Official,2010,Antarctica,,0.00121,72.9333,75.3167
Grove Mountains 090312,GRV 090312,Official,2010,Antarctica,,0.0133,72.9333,75.3167
Grove Mountains 090313,GRV 090313,Official,2010,Antarctica,,0.008,72.9333,75.3167
Grove Mountains 090314,GRV 090314,Official,2010,Antarctica,,0.00211,72.9333,75.3167
Grove Mountains 090315,GRV 090315,Official,2010,Antarctica,,0.00266,72.9333,75.3167
Grove Mountains 090316,GRV 090316,Official,2010,Antarctica,,0.0161,72.9333,75.3167
Grove Mountains 090317,GRV 090317,Official,2010,Antarctica,,0.0261,72.9333,75.3167
Grove Mountains 090318,GRV 090318,Official,2010,Antarctica,,0.00212,72.9333,75.3167
